InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
Q04917	P48552	mint, Hprd	1	1	1	11266503
P06730	O60516	mint, intact, Biogrid, Hprd	1	1	6	9593750, 15153109, 25416956, 12482586, 24722188, 16271312
Q00987	O15151	mint, intact, Dip, Biogrid, Hprd	1	1	50	10608892, 15604276, 17159902, 18566590, 21988832, 22493164, 10218570, 22902369, 12483531, 12393902, 18219319, 16227609, 12860999, 20473904, 19432880, 17301054, 19683495, 19838211, 19619542, 22120712, 20484049, 21925390, 12874296, 22266850, 10827196, 22333590, 16055726, 17616658, 20724842, 12370303, 23028042, 23671280, 24755078, 23946421, 24813712, 25384516, 20705607, 11606419, 26001071, 25512388, 25809483, 25105592, 25659040, 25703327, 25825738, 26359458, 27215386, 27621617, 27617579, 28514442
P23458	O75886	mint, Biogrid, Hprd	1	1	2	10993906, 10899310
Q9UMZ2	Q9UJY4	mint, Biogrid, Hprd	1	1	2	10747088, 10814529
Q15276	Q9UJY4	mint, intact, Biogrid, Hprd	1	1	7	10747088, 12505986, 14636058, 11387476, 16473621, 14665628, 28514442
Q9UMZ2	Q9UJY5	mint, Biogrid, Hprd	1	1	4	10747088, 10814529, 12858163, 17506864
O95831	P0DMV8	mint, Biogrid, Hprd	1	1	2	11533664, 12930708
O95831	P0DMV9	mint, Biogrid, Hprd	1	1	2	11533664, 12930708
Q9UKL3	Q14790	mint, Biogrid, Hprd	1	1	3	10235259, 17245429, 11340079
Q9UKL3	Q13158	mint, Biogrid, Hprd	2	2	1	10235259
O00273	O76075	mint, intact, Biogrid, Hprd	1	1	13	9108473, 9422506, 17353931, 19882353, unassigned1304, 10527860, 15572351, 26186194, 28514442, 10409614, 11371636, 10932250, 10527861
O60941	P46939	mint, Hprd	2	2	1	10545507
O75074	Q9UJY4	mint, Hprd	1	1	1	11390366
Q9UJY5	Q99523	mint, Biogrid, Hprd	1	1	4	11390366, 11821067, 11859376, 20015111
O75074	Q9UJY5	mint, Biogrid, Hprd	1	1	1	11390366
Q9UJY5	P11717	mint, Biogrid, Hprd	1	1	7	11390366, 11387475, 11859376, 15117318, 14567678, 12060753, 11859375
P11717	Q9UJY4	mint, Biogrid, Hprd	1	1	5	11390366, 11387475, 11387476, 14567678, 11859375
Q9UJY5	P20645	mint, Biogrid, Hprd	1	1	2	11387475, 15044437
Q9NZ52	P11717	mint, Biogrid, Hprd	1	1	8	11387475, 16977309, 16135791, 12032548, 14567678, 12060753, 11390366, 11859375
P20645	Q9NZ52	mint, Biogrid, Hprd	1	1	2	11387475, 11859375
Q9Y6K9	O43353	mint, Biogrid, Hprd	2	2	2	10880512, 18079694
Q13546	Q9Y6K9	mint, intact, Biogrid, Hprd	1	1	22	10880512, 14653779, 21458669, 16543241, 16603398, 21113135, 22099304, 18212736, 16547522, 19373245, 21606198, 18029035, 11262391, 17702576, 23746843, 24735611, 26740240, 26865630, 26802121, 27929056, 10980203, 10755617
Q9HC29	O43353	mint, intact, Biogrid, Hprd	2	2	8	11087742, 22829933, 19592251, 15620648, 21123652, 22607974, 21097508, 26670046
Q9Y2G2	P55211	mint, Hprd	2	2	1	11408476
O14727	P42574	mint, intact, Hprd	1	1	2	11550094, 21827945
Q9Y2G2	Q9Y6K9	mint, Biogrid, Hprd	2	2	1	11551959
P31947	Q07812	mint, Hprd	2	2	1	11574543
Q92934	Q07817	mint, intact, Biogrid, Hprd	1	1	30	11583631, 9305851, 15131699, 9388232, 15694340, 19427857, 21988832, 25241761, 25416956, 26871637, unassigned1304, 15705582, 9824152, 12137781, 12115603, 10620799, 7834748, 11206074, 11494146, 9389483, 11077446, 18628207, 19667065, 15721256, 16697956, 20603619, 26186194, 20837658, 28514442, 11483855
Q00987	P32121	mint, intact, Biogrid, Hprd	1	1	11	11588219, 21988832, 12488444, 12538596, 18544533, 21466165, 21389118, 15878855, 21081496, 17984062, 26545496
Q15569	P31946	mint, Biogrid, Hprd	1	1	1	11555644
P19438	Q15628	mint, intact, Dip, Biogrid, Hprd	1	1	26	8565075, 8621670, 7758105, 8943045, 11684708, 19524513, 16611992, 9129204, 23955153, 19641494, 9915703, 10187805, 9082980, 8612133, 18939944, 18776134, 22297296, 11821416, 21724995, 11035039, 24130170, 15310755, 24758719, 27552911, 28514442, 11934887
Q15628	Q12933	mint, intact, Dip, Biogrid, Hprd	1	1	12	8565075, 10892748, 14743216, unassigned1304, 9020361, 23955153, 8702708, 10911999, 11479302, 19815541, 11181075, 12796506
Q13114	Q15628	mint, Hprd	1	1	1	8565075
Q13077	Q15628	mint, Biogrid, Hprd	1	1	2	8565075, 19287455
Q92851	Q13158	mint, Biogrid, Hprd	1	1	6	9045686, 11717445, 15659383, 9228018, 15069192, 20829884
Q16611	P21796	mint, Hprd	1	1	2	9843949, 10639121
P25445	Q14790	mint, intact, Dip, Biogrid, Hprd	2	2	18	11717445, 12887920, 16498403, 17159907, 18328427, 21625644, 17047155, 21803845, 20956295, 26942442, 21713032, 15659383, 9208847, 9325248, 26186194, 27321185, 28514442, 11101867
P25445	Q13158	mint, intact, Dip, Biogrid, Hprd	1	1	24	11717445, 7536190, 7538907, 16498403, 17159907, 18328427, 21382479, 21625644, 21803845, 25241761, 20935634, 19118384, 21713032, 26942442, 15659383, 9325248, 9082980, 8967952, 12107169, 11035039, 22864571, 26186194, 27321185, 28514442
Q92851	Q92851	mint, Biogrid, Hprd	1	1	4	11717445, 8962078, 9045686, 8755496
Q14790	Q14790	mint, intact, Biogrid, Hprd	1	1	8	11717445, 8681376, 16169070, 17170703, 11832478, 10964557, 8962078, 17290218
Q14790	Q92851	mint, intact, Biogrid, Hprd	1	1	12	11717445, 12887920, 17159907, 15659383, 11832478, 8962078, 15280356, 22864571, 21737330, 3031469, 12198154, 170210
